순번,가맹점,조식,중식,석식,음식점 종류,네이버 지도 링크
1,금호식당,O,O,O,기타,"https://map.naver.com/p/entry/place/1919502435?c=17.39,0,0,0,dh&placePath=/home?from=map&fromPanelNum=1&additionalHeight=76&timestamp=202508121934&locale=ko&svcName=map_pcv5"
2,동경규동(강동역점),O,O,O,일식,https://map.naver.com/p/search/%EB%8F%99%EA%B2%BD%EA%B7%9C%EB%8F%99%28%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
3,뚜레쥬르(카페강동역점),O,O,X,카페/디저트,https://map.naver.com/p/search/%EB%9A%9C%EB%A0%88%EC%A5%AC%EB%A5%B4%28%EC%B9%B4%ED%8E%98%EA%B0%95%EB%8F%99%EC%97%AD%EC%A0%90%29
4,래빗온더터틀,O,O,X,카페/디저트,https://map.naver.com/p/search/%EB%9E%98%EB%B9%97%EC%98%A8%EB%8D%94%ED%84%B0%ED%8B%80%28Rabbit%20on%20the%20Turtle%29
5,롯데리아(길동점),O,O,X,기타,https://map.naver.com/p/search/%EB%A1%AF%EB%8D%B0%EB%A6%AC%EC%95%84%28%EA%B8%B8%EB%8F%99%EC%A0%90%29
6,만랩커피(강동ECT점),O,O,X,카페/디저트,https://map.naver.com/p/search/%EB%A7%8C%EB%9E%A9%EC%BB%A4%ED%94%BC%28%EA%B0%95%EB%8F%99ECT%EC%A0%90%29
7,매머드익스프레스 강동역점,O,O,X,카페/디저트,https://map.naver.com/p/search/%EB%A7%A4%EB%A8%B8%EB%93%9C%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%28%EC%8B%A0
8,밥쁘다,O,X,X,한식,https://map.naver.com/p/search/%EB%B0%A5%EC%81%98%EB%8B%A4
9,백년국수,O,O,O,한식,https://map.naver.com/p/search/%EB%B0%B1%EB%85%84%EA%B5%AD%EC%88%98
10,뱃살도둑(강동점),O,O,X,기타,https://map.naver.com/p/search/%EB%B1%83%EC%82%B4%EB%8F%84%EB%91%91%28%EA%B0%95%EB%8F%99%EC%A0%90%29
